Time,F2,T1,CA1,F1,Fc1,Tc1,V,CA,T,Tc_out
5.93465333706924,1,335,2,1,6.6,325,1,0.227547613206546,382.88313017056,349.947788809008
6.03465333706924,1,335,2,1,6.6,325,1,0.227460101589112,382.903443217635,349.955217475952
6.13465333706924,1,335,2,1,6.6,325,1,0.227271718970503,382.928242469665,349.965369017217
6.23465333706924,1,335,2,1,6.6,325,1,0.227032654946763,382.952146773801,349.975920297493
6.33465333706924,1,335,2,1,6.6,325,1,0.226795993249211,382.970680142887,349.984786974713
6.43465333706924,1,335,2,1,6.6,325,1,0.226606976969254,382.981022703203,349.990496383372
6.53465333706924,1,335,2,1,6.6,325,1,0.226495257612877,382.98233606618,349.99239229197
6.63465333706923,1,335,2,1,6.6,325,1,0.226471328399206,382.975648687307,349.990649551798
6.73465333706923,1,335,2,1,6.6,325,1,0.226527265086142,382.963386148031,349.986121118443
6.83465333706923,1,335,2,1,6.6,325,1,0.226640955856463,382.948696361389,349.98007359246
6.93465333706923,1,335,2,1,6.6,325,1,0.226782423483499,382.934737641014,349.973882143636
7.03465333706923,1,335,2,1,6.6,325,1,0.226920684747236,382.924074245421,349.968751354705
7.13465333706923,1,335,2,1,6.6,325,1,0.227029774252839,382.918276123022,349.965511041666
7.23465333706923,1,335,2,1,6.6,325,1,0.227092949690384,382.91776445327,349.964513076086
7.33465333706923,1,335,2,1,6.6,325,1,0.227104573309619,382.921894103573,349.965632629481
7.43465333706923,1,335,2,1,6.6,325,1,0.22706964463091,382.929224339825,349.968358479509
7.53465333706923,1,335,2,1,6.6,325,1,0.227001381026251,382.93790276267,349.971943638769
7.63465333706923,1,335,2,1,6.6,325,1,0.226917553445976,382.946076156124,349.975580430816
7.73465333706923,1,335,2,1,6.6,325,1,0.226836439142622,382.952246650129,349.978563780918
7.83465333706923,1,335,2,1,6.6,325,1,0.226773227623476,382.95551124294,349.980412795319
7.93465333706923,1,335,2,1,6.6,325,1,0.226737523561847,382.955653033726,349.980932326445
8.03465333706923,1,335,2,1,6.6,325,1,0.22673228565124,382.953086310826,349.980210467623
8.13465333706923,1,335,2,1,6.6,325,1,0.226754204294823,382.948686898864,349.978561385279
8.23465333706923,1,335,2,1,6.6,325,1,0.226795233800836,382.943557693079,349.976432573239
8.33465333706923,1,335,2,1,6.6,325,1,0.226844811570508,382.938784561589,349.974299844542
8.43465333706923,1,335,2,1,6.6,325,1,0.226892237027601,382.935231017382,349.972572159511
8.53465333706923,1,335,2,1,6.6,325,1,0.226928734596135,382.933405009003,349.971523016913
8.63465333706923,1,335,2,1,6.6,325,1,0.226948856560509,382.93341242832,349.971257497627
8.73465333706923,1,335,2,1,6.6,325,1,0.226951055093085,382.934993599684,349.971716008096
8.83465333706923,1,335,2,1,6.6,325,1,0.226937431482967,382.937624170164,349.972708804249
8.93465333706923,1,335,2,1,6.6,325,1,0.226912823476906,382.940652412177,349.973970487728
9.03465333706923,1,335,2,1,6.6,325,1,0.226883495238791,382.943441860917,349.975221391583
9.13465333706923,1,335,2,1,6.6,325,1,0.226855735408145,382.945491276202,349.976223198552
9.23465333706923,1,335,2,1,6.6,325,1,0.226834645938636,382.946511945032,349.976818898931
9.33465333706923,1,335,2,1,6.6,325,1,0.226823329234501,382.946453265887,349.976951530252
9.43465333706922,1,335,2,1,6.6,325,1,0.226822574868901,382.945478871192,349.976661019747
9.53465333706922,1,335,2,1,6.6,325,1,0.226831035529858,382.943904890289,349.976062818546
9.63465333706922,1,335,2,1,6.6,325,1,0.226845788302754,382.942117677273,349.975315044901
9.73465333706922,1,335,2,1,6.6,325,1,0.226863118079519,382.940489792377,349.974582115282
9.83465333706922,1,335,2,1,6.6,325,1,0.226879341117077,382.939310605125,349.974002353401
9.93465333706922,1,335,2,1,6.6,325,1,0.226891505661984,382.938742685396,349.973665204793
10,1,335,2,1,6.6,325,1,0.226896365608931,382.93871808243,349.973592911438
